ipc-image src	ipc-poster-card__title
https://m.media-amazon.com/images/M/MV5BNDBiYTM4MjItMmMyYi00ZDkxLTllZjctMDA2NmYwN2M5YTY0XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg	Samantha Ruth Prabhu
https://m.media-amazon.com/images/M/MV5BNmY0Y2Y4NjEtZmIzOC00YWY1LWJkYmQtOWQ2MTc1YTBkY2NiXkEyXkFqcGc@._V1_QL75_UY281_CR155,0,190,281_.jpg	Tamannaah Bhatia
https://m.media-amazon.com/images/M/MV5BZDQ5ZjZjNjgtNzA0Ni00NzNlLWJhNGEtZmZmMDEzMWFjN2JlXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg	Nayanthara
https://m.media-amazon.com/images/M/MV5BNmQ1ZDA1MmYtMGMxOS00OTIxLWEzZDEtODA3ODUyNDgwYTk0XkEyXkFqcGc@._V1_QL75_UY281_CR8,0,190,281_.jpg	Priyamani
https://m.media-amazon.com/images/M/MV5BNjJjMmNkMWItOTQ1Ny00MWEyLWFjNjQtODc2NDUxMWI4YTFmXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg	Revathi
https://m.media-amazon.com/images/M/MV5BZGE4ODg2YWUtZDFkOC00Y2Q1LWIyYmMtOTAyMzZlOWUzODBmXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg	Shriya Saran
https://m.media-amazon.com/images/M/MV5BMmVmYmY5OWMtZjAwZC00N2ZhLWFjMzMtNzkwMGY5ZmJjOWJlXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg	Shruti Haasan
https://m.media-amazon.com/images/M/MV5BZGExNmFjMDAtOTZlYS00MjdiLWIyOTEtMGY2ZTlkNTkxOWNmXkEyXkFqcGc@._V1_QL75_UY281_CR13,0,190,281_.jpg	Nithya Menen
https://m.media-amazon.com/images/M/MV5BMTQyMjg4Mzk2M15BMl5BanBnXkFtZTcwMjE0MTg2OA@@._V1_QL75_UY281_CR24,0,190,281_.jpg	Sridevi
https://m.media-amazon.com/images/M/MV5BYTg5MDRmZWEtMjk4NC00NjBlLWJiMDktZGRiZjVhNThhMDQxXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg	Ramya Krishnan
https://m.media-amazon.com/images/M/MV5BZjg5ZjQ4NTItM2Y2ZC00ZDRhLTg3NjMtMGFkOTVkYzZhMGNmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg	Sai Pallavi
https://m.media-amazon.com/images/M/MV5BODY5YzJlMTAtN2IyNy00MTJhLTgzYjctMTI5NGMyZDA4NGJhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg	Amala Paul
https://m.media-amazon.com/images/M/MV5BMTczOGNjYTEtZjY1Zi00MWM3LWIzMTAtZTZiYmI1OGQ3MTI3XkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg	Meena
https://m.media-amazon.com/images/M/MV5BNTBhZWI0MGEtZWU3Yy00ZmQwLWJkNWEtYmFlYjQ2ZjY4ZWUyXkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg	Sneha
https://m.media-amazon.com/images/M/MV5BODYxZmJjNDMtYjQ3OS00ODc1LWFmZWUtZjk5OGJmNTMyNjhjXkEyXkFqcGc@._V1_QL75_UY281_CR32,0,190,281_.jpg	Silk Smitha
https://m.media-amazon.com/images/M/MV5BM2ZiMzA4YTEtZmUzNi00ZjA0LWI0ZjQtYjY2MTJlZDRmNzA5XkEyXkFqcGc@._V1_QL75_UY281_CR27,0,190,281_.jpg	Simran
https://m.media-amazon.com/images/M/MV5BODFkNjhmN2YtMDdmNy00YzdmLTgzZWEtM2JmMWI3YjliMjg3XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg	Aishwarya Rajesh
https://m.media-amazon.com/images/M/MV5BMjA4MjkyMzAxNl5BMl5BanBnXkFtZTcwOTEyMjMyMg@@._V1_QL75_UX190_CR0,2,190,281_.jpg	Asin
https://m.media-amazon.com/images/M/MV5BN2M4NjhjYWItMjg3ZS00MjI5LTk2ZjItMDI1YTA5ODk2ZTg0XkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg	Hansika Motwani
https://m.media-amazon.com/images/M/MV5BM2I5ZmIxOTgtYzE0My00MjcxLWEyNGQtNWZlMDA2YWUwNWYxXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg	Trisha Krishnan
https://m.media-amazon.com/images/M/MV5BMWY2NzBmYzAtNTU3Yy00OTFhLTk5OWQtY2Y4MDFjYjM1MzliXkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg	Radhika Sarathkumar
https://m.media-amazon.com/images/M/MV5BMzYxMjg1M2MtMjhiNS00ODEwLTliOTctYTE3ZTMzMTQzMmI4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg	Anjali
https://m.media-amazon.com/images/M/MV5BODNiMGVlNjMtOTBmYy00MmJhLTkxNjEtMzk0ZWM0MmQ2ODc4XkEyXkFqcGc@._V1_QL75_UY281_CR11,0,190,281_.jpg	Shobana
https://m.media-amazon.com/images/M/MV5BNWM4YzNlY2UtZGQ0ZS00NDRjLTljZmQtMDNiYmE3Y2NkZTE4XkEyXkFqcGc@._V1_QL75_UY281_CR11,0,190,281_.jpg	Jyotika
https://m.media-amazon.com/images/M/MV5BNmQ5MDEyMjEtMzU3MS00ODYyLWFiZTgtZTI3YjUyYTMxNmIwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg	Roja
https://m.media-amazon.com/images/M/MV5BYWIwYjc4ZTAtYTA4YS00ZDRlLTg2ZTgtNjkyYjA4NGRhOWQ0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg	Aparna Balamurali
https://m.media-amazon.com/images/M/MV5BZjg0ZWQyNDAtZmMzNS00NGMwLWI0ZjItYjZlMTg3NzM0NmVhXkEyXkFqcGc@._V1_QL75_UX190_CR0,15,190,281_.jpg	Andrea Jeremiah
